stage_no,stage_folder,stage_label,main_input,main_output,data_dir,tables_dir,plots_dir,report_dir,next_stage_input_dir
00,00_harmonized_trial_data,Treatment-family harmonization and soil-data standardization,"m_n_publications, local DSM, ecological zones, boundary, NSAF/raw trial files",Clean harmonized maize trial database with standardized soil covariates,D:\dss\SOIL ADVISORY\outputs\00_harmonized_trial_data\00_data,D:\dss\SOIL ADVISORY\outputs\00_harmonized_trial_data\01_descriptive_tables,D:\dss\SOIL ADVISORY\outputs\00_harmonized_trial_data\02_plots,D:\dss\SOIL ADVISORY\outputs\00_harmonized_trial_data\03_stage_report,D:\dss\SOIL ADVISORY\outputs\00_harmonized_trial_data\04_inputs_for_next_stage
01,01_trial_response_calibration,Trial-response calibration,Harmonized multi-year trial database from Stage 00,"Attainable yield, AE-N, treatment-response envelopes",D:\dss\SOIL ADVISORY\outputs\01_trial_response_calibration\00_data,D:\dss\SOIL ADVISORY\outputs\01_trial_response_calibration\01_descriptive_tables,D:\dss\SOIL ADVISORY\outputs\01_trial_response_calibration\02_plots,D:\dss\SOIL ADVISORY\outputs\01_trial_response_calibration\03_stage_report,D:\dss\SOIL ADVISORY\outputs\01_trial_response_calibration\04_inputs_for_next_stage
02,02_farmer_yield_anchoring,Farmer-yield anchoring,Crop-cut and farmer-survey data,Actual yield and current management baseline,D:\dss\SOIL ADVISORY\outputs\02_farmer_yield_anchoring\00_data,D:\dss\SOIL ADVISORY\outputs\02_farmer_yield_anchoring\01_descriptive_tables,D:\dss\SOIL ADVISORY\outputs\02_farmer_yield_anchoring\02_plots,D:\dss\SOIL ADVISORY\outputs\02_farmer_yield_anchoring\03_stage_report,D:\dss\SOIL ADVISORY\outputs\02_farmer_yield_anchoring\04_inputs_for_next_stage
03,03_yield_gap_target_yield,Yield-gap and target-yield setting,Trial attainable yield and farmer actual yield,"Low, medium, and high target-yield scenarios",D:\dss\SOIL ADVISORY\outputs\03_yield_gap_target_yield\00_data,D:\dss\SOIL ADVISORY\outputs\03_yield_gap_target_yield\01_descriptive_tables,D:\dss\SOIL ADVISORY\outputs\03_yield_gap_target_yield\02_plots,D:\dss\SOIL ADVISORY\outputs\03_yield_gap_target_yield\03_stage_report,D:\dss\SOIL ADVISORY\outputs\03_yield_gap_target_yield\04_inputs_for_next_stage
04,04_response_domain_transfer,Response-domain extrapolation,"DSM, climate, terrain, season, agroecology and trial/crop-cut locations",Transferability classes and response-domain confidence,D:\dss\SOIL ADVISORY\outputs\04_response_domain_transfer\00_data,D:\dss\SOIL ADVISORY\outputs\04_response_domain_transfer\01_descriptive_tables,D:\dss\SOIL ADVISORY\outputs\04_response_domain_transfer\02_plots,D:\dss\SOIL ADVISORY\outputs\04_response_domain_transfer\03_stage_report,D:\dss\SOIL ADVISORY\outputs\04_response_domain_transfer\04_inputs_for_next_stage
05,05_nsaf_innovation_targeting,NSAF/Pandit summer-monsoon innovation targeting,NSAF trial contrasts and response-domain confidence,"PCU, UDP, V6/V10 timing, FYM, Zn/S suitability and N-saving layers",D:\dss\SOIL ADVISORY\outputs\05_nsaf_innovation_targeting\00_data,D:\dss\SOIL ADVISORY\outputs\05_nsaf_innovation_targeting\01_descriptive_tables,D:\dss\SOIL ADVISORY\outputs\05_nsaf_innovation_targeting\02_plots,D:\dss\SOIL ADVISORY\outputs\05_nsaf_innovation_targeting\03_stage_report,D:\dss\SOIL ADVISORY\outputs\05_nsaf_innovation_targeting\04_inputs_for_next_stage
06,06_fertilizer_demand_estimation,Fertilizer-demand estimation,"Target yield, soil supply, AE-N, QUEFTS/nutrient-balance assumptions",N demand and fertilizer-demand classes,D:\dss\SOIL ADVISORY\outputs\06_fertilizer_demand_estimation\00_data,D:\dss\SOIL ADVISORY\outputs\06_fertilizer_demand_estimation\01_descriptive_tables,D:\dss\SOIL ADVISORY\outputs\06_fertilizer_demand_estimation\02_plots,D:\dss\SOIL ADVISORY\outputs\06_fertilizer_demand_estimation\03_stage_report,D:\dss\SOIL ADVISORY\outputs\06_fertilizer_demand_estimation\04_inputs_for_next_stage
07,07_spatial_advisory_ensemble,Spatial advisory ensemble,"Trial response, crop-cut yield gap, response-domain, innovation and fertilizer-demand layers",Advisory zones and response-confidence classes,D:\dss\SOIL ADVISORY\outputs\07_spatial_advisory_ensemble\00_data,D:\dss\SOIL ADVISORY\outputs\07_spatial_advisory_ensemble\01_descriptive_tables,D:\dss\SOIL ADVISORY\outputs\07_spatial_advisory_ensemble\02_plots,D:\dss\SOIL ADVISORY\outputs\07_spatial_advisory_ensemble\03_stage_report,D:\dss\SOIL ADVISORY\outputs\07_spatial_advisory_ensemble\04_inputs_for_next_stage
08,08_admin_aggregation_country,District-to-country aggregation,"Advisory-zone outputs, maize area, boundary layers and census/admin data","Ward, municipality, district, province and national fertilizer-demand scenarios",D:\dss\SOIL ADVISORY\outputs\08_admin_aggregation_country\00_data,D:\dss\SOIL ADVISORY\outputs\08_admin_aggregation_country\01_descriptive_tables,D:\dss\SOIL ADVISORY\outputs\08_admin_aggregation_country\02_plots,D:\dss\SOIL ADVISORY\outputs\08_admin_aggregation_country\03_stage_report,D:\dss\SOIL ADVISORY\outputs\08_admin_aggregation_country\04_inputs_for_next_stage
99,99_reports_recommendation_package,Reports and recommendation package,Final stage outputs from Stages 00-08,"Maps, tables, stage reports and recommendation packages",D:\dss\SOIL ADVISORY\outputs\99_reports_recommendation_package\00_data,D:\dss\SOIL ADVISORY\outputs\99_reports_recommendation_package\01_descriptive_tables,D:\dss\SOIL ADVISORY\outputs\99_reports_recommendation_package\02_plots,D:\dss\SOIL ADVISORY\outputs\99_reports_recommendation_package\03_stage_report,D:\dss\SOIL ADVISORY\outputs\99_reports_recommendation_package\04_inputs_for_next_stage
